record_id,company_name,address,city,state,zip,phone,website,primary_sic,sic_description,employee_size,sales_volume,contact_name,contact_title,year_established,location_type,public_private_flag,franchise_flag,credit_rating,naics_code,census_tract,latitude,longitude,carrier_route,source_file
DA-100231,Zingerman's Delicatessen,422 Detroit St,Ann Arbor,MI,48104,7346633354,,5812,Eating Places,90,12000000,,,1982,Single Loc,Private,No,A2,722511,4002.00,42.2853,-83.7441,C012,dataaxle_export_q2.csv
DA-100232,Gachina Landscape Management Inc,1175 Chess Dr,Menlo Park,CA,94025,6503628000,,0782,Lawn & Garden Services,300,28000000,John Gachina,President,1988,Headquarters,Private,No,A1,561730,6111.02,37.4810,-122.2010,R045,dataaxle_export_q2.csv
DA-100233,Sweetgreen Inc,3102 36th St,Los Angeles,CA,90018,3239154087,,5812,Eating Places,5000,584000000,,,2007,Headquarters,Public,No,B1,722513,2311.10,34.0259,-118.3270,C088,dataaxle_export_q2.csv
DA-100234,Tropical Smoothie Cafe - Midtown,1100 Peachtree St NE,Atlanta,GA,30309,4045550199,,5812,Eating Places,18,900000,,,2015,Franchise,Private,Yes,C3,722515,1200.01,33.7860,-84.3830,C211,dataaxle_export_q2.csv
DA-100235,Bornquist Inc,7050 N Lehigh Ave,Chicago,IL,60646,7736310200,,5075,Warm Air Heating & AC,40,15000000,,,1937,Single Loc,Private,No,A2,423730,1304.00,41.9930,-87.7740,R102,dataaxle_export_q2.csv
DA-100236,Riverbend Machine & Tool LLC,884 Industrial Pkwy,Elkhart,IN,46516,5742950144,,3599,Industrial Machinery NEC,55,8500000,Mark Hessler,Owner,1996,Single Loc,Private,No,A3,332710,0009.00,41.6820,-85.9760,R077,dataaxle_export_q2.csv
DA-100237,Patagonia Inc,259 W Santa Clara St,Ventura,CA,93001,8056438616,,5651,Family Clothing Stores,3000,1500000000,,,1973,Headquarters,Private,No,A1,448140,0029.03,34.2800,-119.2930,C033,dataaxle_export_q2.csv
DA-100238,McKinney Trailer Rentals,15999 Valley Blvd,La Puente,CA,91744,6263335400,,7359,Equipment Rental & Leasing,400,120000000,,,1959,Headquarters,Private,No,B2,532120,4033.21,34.0190,-117.9460,R140,dataaxle_export_q2.csv
DA-100239,Hometown Heating & Cooling,52 Maple Ave,Bristol,VT,05443,8024530099,,1711,Plumbing Heating AC,6,750000,,,2009,Single Loc,Private,No,C2,238220,0301.00,44.1330,-73.0790,R012,dataaxle_export_q2.csv
DA-100240,Bob's Red Mill Natural Foods,13521 SE Pheasant Ct,Milwaukie,OR,97222,5036072900,,2040,Grain Mill Products,700,150000000,,,1978,Headquarters,Private,No,A1,311210,0210.00,45.4350,-122.5710,C055,dataaxle_export_q2.csv
